ID,Total Cost per Month,Rental Type,Number of Bedrooms,Postcode,Date Listed,Number of Bathrooms,Number of Living Rooms,Distance to First Public Transport Hub (Miles),First Public Transport Hub Name,Distance to Second Public Transport Hub (Miles),Second Public Transport Hub Name,Cost per Bedroom,Bedrooms to Bathrooms Ratio,Bedrooms to Living Rooms Ratio,Zone
62729618,700.0,Room to Rent,1.0,n9,2022-10-25,1.0,,0.2,Edmonton Green,0.8,Silver Street,700.0,1.0,,4
63455155,700.0,Room to Rent,1.0,e17,2022-12-13,1.0,,0.7,Walthamstow Central,0.7,Walthamstow Central,700.0,1.0,,3
62716868,700.0,Room to Rent,1.0,e17,2022-10-24,,,0.8,Northumberland Park,0.8,Meridian Water,700.0,,,3
62777483,700.0,Room to Rent,1.0,n18,2022-11-01,2.0,,0.4,Silver Street,0.6,White Hart Lane,700.0,0.5,,4
63395751,700.0,Room to Rent,1.0,n18,2022-12-04,3.0,,0.2,Silver Street,0.6,White Hart Lane,700.0,0.3333333333333333,,4
63139992,700.0,Room to Rent,1.0,n9,2022-11-19,1.0,,0.3,Edmonton Green,0.9,Silver Street,700.0,1.0,,4
60008744,700.0,Room to Rent,1.0,e11,2022-02-21,,,0.3,Wanstead,0.5,Redbridge,700.0,,,4
62813679,700.0,Room to Rent,1.0,n15,2022-11-05,1.0,,0.3,Tottenham Hale,0.3,Tottenham Hale,700.0,1.0,,3
62851837,700.0,Room to Rent,1.0,se6,2022-11-10,1.0,,0.3,Bellingham,0.7,Catford Bridge,700.0,1.0,,3
59131446,700.0,Room to Rent,1.0,se9,2022-11-30,1.0,,0.4,Eltham,0.8,Mottingham,700.0,1.0,,4
60939364,700.0,Room to Rent,1.0,e10,2022-03-08,2.0,1.0,0.6,Leyton Midland Road,0.7,Walthamstow Queen's Road,700.0,0.5,1.0,3
63398915,700.0,Flat,1.0,e10,2022-12-05,1.0,,0.1,Lea Bridge,1.0,St James Street (Walthamstow),700.0,1.0,,3
63465394,700.0,Room to Rent,1.0,w7,2022-12-14,1.0,,0.4,Drayton Green,0.4,Hanwell,700.0,1.0,,4
